Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
191232,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,0F,0F,
194209,00000231,false,Rx,0,8,00,01,00,00,00,00,00,01,
194352,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
205106,00000231,false,Rx,0,8,00,01,00,00,00,00,01,00,
205377,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
211149,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,00,A4,
211377,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,00,78,
211652,00000410,false,Rx,0,8,37,00,AA,51,00,FF,00,33,
211928,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
212177,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,00,00,
213139,00000332,false,Rx,0,8,01,00,00,00,00,00,09,08,
213353,00000530,false,Rx,0,8,FF,FF,79,83,27,11,D2,00,
216077,00000231,false,Rx,0,8,00,01,00,00,00,00,02,03,
216352,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
227077,00000231,false,Rx,0,8,00,01,00,00,00,00,03,02,
227352,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
232160,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,01,A5,
232407,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,01,79,
232682,00000410,false,Rx,0,8,37,00,AA,51,00,FF,01,32,
232959,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
233230,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,01,01,
238128,00000231,false,Rx,0,8,00,01,00,00,00,00,04,05,
238379,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
249108,00000231,false,Rx,0,8,00,01,00,00,00,00,05,04,
249383,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
253153,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,02,A6,
253405,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,02,7A,
253655,00000410,false,Rx,0,8,37,00,04,61,00,FF,02,AF,
253957,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
254206,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,02,02,
260101,00000231,false,Rx,0,8,00,01,00,00,00,00,06,07,
260376,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
271112,00000231,false,Rx,0,8,00,01,00,00,00,00,08,09,
271356,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
274132,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,03,A7,
274377,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,03,7B,
274654,00000410,false,Rx,0,8,37,00,04,61,00,FF,03,AE,
274938,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
275202,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,03,03,
282077,00000231,false,Rx,0,8,00,01,00,00,00,00,09,08,
282351,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
293077,00000231,false,Rx,0,8,00,01,00,00,00,00,0A,0B,
293350,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
295125,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,04,A0,
295377,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,04,7C,
