Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
484851,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
489851,00000010,false,Rx,0,8,00,FF,61,30,00,00,09,A7,
494851,00000013,false,Rx,0,8,FF,01,09,00,00,00,00,00,
499851,00000102,false,Rx,0,8,00,00,19,4F,51,CD,09,C3,
504851,00000103,false,Rx,0,8,02,00,02,00,00,00,09,09,
509851,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,0B,96,
514851,00000110,false,Rx,0,8,00,00,00,7B,01,05,0D,72,
519851,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
524851,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
529851,00000316,false,Rx,0,8,13,AD,01,27,4E,00,00,00,
534851,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
539851,00000342,false,Rx,0,8,03,C2,99,99,93,00,03,90,
544851,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
549851,00000231,false,Rx,0,8,00,01,00,00,00,00,0B,0A,
554851,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
559851,00000102,false,Rx,0,8,00,00,19,4F,51,CD,0A,C0,
564851,00000103,false,Rx,0,8,02,00,02,00,00,00,0A,0A,
569851,00000010,false,Rx,0,8,00,FF,61,30,00,00,0A,A4,
574851,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,0C,91,
579851,00000012,false,Rx,0,8,99,99,32,00,01,00,05,36,
584851,00000400,false,Rx,0,8,00,0B,56,F0,00,01,0D,A1,
589851,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,0D,75,
594851,00000410,false,Rx,0,8,3F,00,AA,31,00,FF,0D,56,
599851,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
604851,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,0D,0D,
609851,00000231,false,Rx,0,8,00,01,00,00,00,00,0C,0D,
614851,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
619851,00000102,false,Rx,0,8,00,00,19,4F,51,CD,0B,C1,
624851,00000103,false,Rx,0,8,02,00,02,00,00,00,0B,0B,
629851,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,0D,90,
634851,00000110,false,Rx,0,8,00,00,00,7B,01,05,0E,71,
639851,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
644851,00000010,false,Rx,0,8,00,FF,61,30,00,00,0B,A5,
649851,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
654851,00000316,false,Rx,0,8,13,AD,01,27,4E,00,00,00,
659851,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
664851,00000342,false,Rx,0,8,03,C2,99,99,93,00,03,90,
669851,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
674851,00000231,false,Rx,0,8,00,01,00,00,00,00,0D,0C,
679851,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
684851,00000102,false,Rx,0,8,00,00,19,4F,51,CD,0C,C6,
689851,00000103,false,Rx,0,8,02,00,02,00,00,00,0C,0C,
694851,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,0E,93,
699851,00000010,false,Rx,0,8,00,FF,61,30,00,00,0C,A2,
704851,00000012,false,Rx,0,8,99,99,32,00,00,00,06,34,
709851,00000400,false,Rx,0,8,00,0B,56,F0,00,01,0E,A2,
714851,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,0E,76,
719851,00000410,false,Rx,0,8,3F,00,AA,31,00,FF,0E,55,
724851,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
729851,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,0E,0E,
734851,00000102,false,Rx,0,8,00,00,19,4F,51,CD,0D,C7,
739851,00000103,false,Rx,0,8,02,00,02,00,00,00,0D,0D,
744851,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,0F,92,
749851,00000110,false,Rx,0,8,00,00,00,7B,01,05,0F,70,
754851,00000231,false,Rx,0,8,00,01,00,00,00,00,0E,0F,
759851,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
764851,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
769851,00000316,false,Rx,0,8,13,AD,01,27,4E,00,00,00,
774851,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
779851,00000342,false,Rx,0,8,03,C2,99,99,93,00,03,90,
784851,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
789851,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
794851,00000010,false,Rx,0,8,00,FF,61,30,00,00,0D,A3,
799851,00000102,false,Rx,0,8,00,00,19,4F,51,CD,0E,C4,
804851,00000103,false,Rx,0,8,02,00,02,00,00,00,0E,0E,
809851,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,00,9D,
814851,00000231,false,Rx,0,8,00,01,00,00,00,00,0F,0E,
819851,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
824851,00000010,false,Rx,0,8,00,FF,61,30,00,00,0E,A0,
829851,00000012,false,Rx,0,8,99,99,32,00,01,00,07,34,
834851,00000013,false,Rx,0,8,FF,01,09,00,00,00,00,00,
839851,00000400,false,Rx,0,8,00,0B,56,F0,00,01,0F,A3,
844851,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,0F,77,
849851,00000410,false,Rx,0,8,3F,00,AA,31,00,FF,0F,54,
854851,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
859851,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,0F,0F,
864851,00000332,false,Rx,0,8,01,00,00,00,00,00,0F,0E,
869851,00000530,false,Rx,0,8,FF,FF,6B,23,64,04,49,00,
874851,00000102,false,Rx,0,8,00,00,19,4F,51,CD,0F,C5,
879851,00000103,false,Rx,0,8,02,00,02,00,00,00,0F,0F,
884851,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,01,9C,
889851,00000110,false,Rx,0,8,00,00,00,7B,01,05,00,7F,
894851,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
899851,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
904851,00000316,false,Rx,0,8,13,AD,01,27,4E,00,00,00,
909851,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
914851,00000342,false,Rx,0,8,03,C2,99,99,93,00,03,90,
919851,00000231,false,Rx,0,8,00,01,00,00,00,00,00,01,
924851,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
929851,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
934851,00000010,false,Rx,0,8,00,FF,61,30,00,00,0F,A1,
939851,00000102,false,Rx,0,8,00,00,19,4F,51,CD,00,CA,
944851,00000103,false,Rx,0,8,02,00,02,00,00,00,00,00,
949851,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,02,9F,
954851,00000231,false,Rx,0,8,00,01,00,00,00,00,02,03,
959851,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
964851,00000010,false,Rx,0,8,00,FF,61,30,00,00,00,AE,
969851,00000400,false,Rx,0,8,00,0B,56,F0,00,01,00,AC,
974851,00000012,false,Rx,0,8,99,99,32,00,00,00,08,3A,
979851,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,00,78,
984851,00000410,false,Rx,0,8,3F,00,C4,00,00,FF,00,04,
989851,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
994851,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,00,00,
999851,00000102,false,Rx,0,8,00,00,19,4F,51,CD,01,CB,
1004851,00000103,false,Rx,0,8,02,00,02,00,00,00,01,01,
1009851,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,03,9E,
1014851,00000110,false,Rx,0,8,00,00,00,7B,01,05,01,7E,
1019851,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
1024851,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
1029851,00000316,false,Rx,0,8,13,AD,01,27,4E,00,00,00,
1034851,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
1039851,00000342,false,Rx,0,8,03,C2,99,99,93,00,03,90,
1044851,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
1049851,00000231,false,Rx,0,8,00,01,00,00,00,00,02,03,
1054851,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
1059851,00000010,false,Rx,0,8,00,FF,61,30,00,00,01,AF,
1064851,00000102,false,Rx,0,8,00,00,19,4F,51,CD,02,C8,
1069851,00000103,false,Rx,0,8,02,00,02,00,00,00,02,02,
1074851,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,04,99,
