Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
524161,00000102,false,Rx,0,8,00,00,19,50,51,CD,0C,D9,
529161,00000103,false,Rx,0,8,02,00,02,00,00,00,0C,0C,
534161,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,0E,93,
539161,00000231,false,Rx,0,8,00,01,00,00,00,00,00,01,
544161,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
549161,00000400,false,Rx,0,8,00,0B,56,F0,00,01,0F,A3,
554161,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,0F,77,
559161,00000410,false,Rx,0,8,3B,00,AA,31,00,FF,0F,50,
564161,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
569161,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,0F,0F,
574161,00000010,false,Rx,0,8,00,FF,61,30,00,00,03,AD,
579161,00000013,false,Rx,0,8,FF,01,09,00,00,00,00,00,
584161,00000102,false,Rx,0,8,00,00,19,50,51,CD,0D,D8,
589161,00000103,false,Rx,0,8,02,00,02,00,00,00,0D,0D,
594161,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,0F,92,
599161,00000110,false,Rx,0,8,00,00,00,7B,01,05,0F,70,
604161,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
609161,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
614161,00000316,false,Rx,0,8,13,AD,01,27,4E,00,00,00,
619161,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
624161,00000332,false,Rx,0,8,01,00,00,00,00,00,05,04,
629161,00000342,false,Rx,0,8,03,C2,99,99,94,00,03,90,
634161,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
639161,00000530,false,Rx,0,8,FF,FF,6A,51,64,04,49,00,
644161,00000231,false,Rx,0,8,00,01,00,00,00,00,00,01,
649161,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
654161,00000102,false,Rx,0,8,00,00,19,50,51,CD,0E,DB,
659161,00000103,false,Rx,0,8,02,00,02,00,00,00,0E,0E,
664161,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,00,9D,
669161,00000010,false,Rx,0,8,00,FF,61,30,00,00,04,AA,
674161,00000012,false,Rx,0,8,99,99,32,00,00,00,02,30,
679161,00000231,false,Rx,0,8,00,01,00,00,00,00,02,03,
684161,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
689161,00000400,false,Rx,0,8,00,0B,56,F0,00,01,00,AC,
694161,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,00,78,
699161,00000410,false,Rx,0,8,3B,00,C4,00,00,FF,00,00,
704161,00000102,false,Rx,0,8,00,00,19,50,51,CD,0F,DA,
709161,00000103,false,Rx,0,8,02,00,02,00,00,00,0F,0F,
714161,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,01,9C,
719161,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
724161,00000110,false,Rx,0,8,00,00,00,7B,01,05,00,7F,
729161,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,00,00,
734161,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
739161,00000010,false,Rx,0,8,00,FF,61,30,00,00,05,AB,
744161,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
749161,00000316,false,Rx,0,8,13,AD,01,27,4E,00,00,00,
754161,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
759161,00000342,false,Rx,0,8,03,C2,99,99,94,00,03,90,
764161,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
769161,00000231,false,Rx,0,8,00,01,00,00,00,00,02,03,
774161,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
779161,00000102,false,Rx,0,8,00,00,19,50,51,CD,00,D5,
784161,00000103,false,Rx,0,8,02,00,02,00,00,00,00,00,
789161,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,02,9F,
794161,00000010,false,Rx,0,8,00,FF,61,30,00,00,06,A8,
799161,00000012,false,Rx,0,8,99,99,32,00,01,00,03,30,
804161,00000231,false,Rx,0,8,00,01,00,00,00,00,04,05,
809161,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
814161,00000102,false,Rx,0,8,00,00,19,50,51,CD,01,D4,
819161,00000103,false,Rx,0,8,02,00,02,00,00,00,01,01,
824161,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,03,9E,
829161,00000110,false,Rx,0,8,00,00,00,7B,01,05,01,7E,
834161,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
839161,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
844161,00000316,false,Rx,0,8,13,AD,01,27,4E,00,00,00,
849161,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
854161,00000342,false,Rx,0,8,03,C2,99,99,94,00,03,90,
859161,00000400,false,Rx,0,8,00,0B,56,F0,00,01,01,AD,
864161,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
869161,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,01,79,
874161,00000410,false,Rx,0,8,3B,00,C4,00,00,FF,01,01,
879161,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
884161,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,01,01,
889161,00000010,false,Rx,0,8,00,FF,61,30,00,00,07,A9,
894161,00000231,false,Rx,0,8,00,01,00,00,00,00,05,04,
899161,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
904161,00000102,false,Rx,0,8,00,00,19,50,51,CD,02,D7,
909161,00000103,false,Rx,0,8,02,00,02,00,00,00,02,02,
914161,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,04,99,
919161,00000010,false,Rx,0,8,00,FF,61,30,00,00,08,A6,
924161,00000012,false,Rx,0,8,99,99,32,00,00,00,04,36,
929161,00000013,false,Rx,0,8,FF,01,09,00,00,00,00,00,
934161,00000231,false,Rx,0,8,00,01,00,00,00,00,06,07,
939161,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
944161,00000102,false,Rx,0,8,00,00,19,50,51,CD,03,D6,
949161,00000103,false,Rx,0,8,02,00,02,00,00,00,03,03,
